verdict,wrong_field,confidence,school,session,folder_subject,folder_grade,corrected_subject,corrected_grade,item_name,assessment_types,n_students,taker_grade,code_grade,code_subject,dup_other_grades,dup_other_subjects,reasoning,subject_id
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,History,Grade 7,,,Unit 4 Test,Lesson  Assessments,30,Grade 7,Grade 8,Social Studies,Grade 8,Civics,"SS.8.A US History standards but all 30 takers (2024-25) are universally Grade 7 (Grade 8 overlap is the same cohort a year later); folder Grade 7 matches the actual students, SS.8.A is the off-grade standard set for the grade-7 US-History course — not a misfile.",89f204eadbbe1fa9396e39566d4552015e04cac9618d897b2dc0d02cd71a1473
LEGIT_OFFGRADE_STANDARDS,NONE,medium,Athenian Academy of Technology and the Arts,2025-26,History,Grade 7,,,Unit 1 Test,Lesson  Assessments,27,Grade 7,Grade 8,Social Studies,Grade 8,Civics,"Standards are 100% grade-8 US History (SS.8.A.*/SS.8.CG.*), which is correctly Social Studies=History; takers span Grade 5/6/7 folders with zero Grade-8 footprint, so grade-7 students are simply taking a US-History course whose standard set is SS.8 (off-grade), not a Grade-8 misfile.",c7b885338904095373e40d6baa038092cf9814a4801293ddb8d97e9ea23c939b
LEGIT_OFFGRADE_STANDARDS,NONE,medium,Athenian Academy of Technology and the Arts,2025-26,History,Grade 7,,,Unit 2 Test,Lesson  Assessments,26,Grade 7,Grade 8,Social Studies,Grade 8,Civics,"Same History/Grade 7 US-History course as Unit 1: standards 100% grade-8 (SS.8.A.*/SS.8.CG.*) = correct Social Studies subject; code-grade 8 disagrees with taker-grade 7 (folder-matching), so it's off-grade standards not a student-grade misfile.",e3f72669e35a25611eeeae0ebe30036b440310cb67a5168795e7cfe823565aac
LEGIT_OFFGRADE_STANDARDS,NONE,medium,Athenian Academy of Technology and the Arts,2025-26,History,Grade 7,,,Unit 5 Test,Lesson  Assessments,23,Grade 7,Grade 8,Social Studies,Grade 8,Civics,"Standards 100% grade-8 US History (SS.8.A.5.*) = correct Social Studies=History subject; same off-grade pattern as the other Unit tests, takers are grade-7 middle schoolers (no Grade-8 footprint), so SS.8 is just the course standard set.",e502aabbf806f772699b3b9aaef3e8bb693e6c7630d2535a4a2f8e4f82419528
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,Math,Grade K,,,Adding 3 Numbers,Lesson  Assessments,66,Grade K,Grade 1,Math,,,"Takers are overwhelmingly Grade K (66 students / ~74k rows, only 6 stragglers elsewhere) in the K Math folder; the single grade-1 standard MA.1.AR.1.1 (adding three numbers) is above-grade tagging, not a K-to-Grade-1 student misfile.",942ff36a58e2ab77bb666b6dabd9166e40d551a6b917cbb4edefae5ba3b298bc
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,Math,Grade K,,,2 Digit Addition,Lesson  Assessments,68,Grade K,Grade 2,Math,,,"Takers are dominantly Grade K (68 students / ~75k rows) in the K Math folder; the single grade-2 standard MA.2.NSO.2.4 is above-grade skill tagging within the genuine K course, not a Grade-2 student misfile.",ff5066fe63c9f7b0e81adfcd68a61a1584b8e2ceccfcc8aa76cb120f729a98c2
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Science,Grade 6,,,Beginning of Year Science Benchmark,Lesson  Assessments,32,Grade 6,Grade 5,Science,Grade 7,,"A beginning-of-year benchmark for Grade 6 legitimately tests prior-year (Grade 5, SCI.5.*) standards; takers are dominantly Grade 6, so the grade-5 codes are expected diagnostic content, not a misfile.",ab0363ca21cb7a0940ddd4a26b930b9f068ee22bf44cba914bff403a1decd659
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Science,Grade 7,,,Beginning of Year Science Benchmark,Lesson  Assessments,32,Grade 7,Grade 6,Science,Grade 6,,"Grade-7 beginning-of-year benchmark tests prior-year (Grade 6, SCI.6.*) standards; takers are dominantly Grade 7/8, so grade-6 codes are the expected prior-grade diagnostic set, not a misfile.",b5dc00d4e6592951be58c124710720664dfbad6954d8d7d486bb40a9e7eb369f
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Science,Grade 8,,,Unit 1 Benchmark Test: Nature of Science,Lesson  Assessments,17,Grade 8,Grade 6,Science,Grade 6;Grade 7,,"All 17 takers are exclusively Grade 8 across every one of their assessments (matching the folder), and standards are 100% Science; the Grade-6-coded SC.6.N 'Nature of Science' set is foundational content taught in a Grade 8 comprehensive science course, so codes disagree with taker-grade -> off-grade standards, not a misfile.",44cdd66edd627b5a4616ce331b3f5dfd9c5170f789290fc30a2f299e9953effe
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English III,Regular 9–12,,,Unit 1 Part 2,Unit,10,Higher-Ed,Grade 11,ELA,Grade 6;Grade 7,ELA;HS English I;HS English II;HS English IV,"Standards are 100% ELA.11 (grade-11 English), matching HS English III subject and course grade; the only flag is Regular 9–12 vs Higher-Ed, a CFP HS dual-enrollment grouping difference, not a misfile.",0093d5131736a66a34689a8c4971710c47a14c31e0475a61fdce9a0dc1d805d0
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English III,Regular 9–12,,,Unit 1 Part 1,Unit,9,Higher-Ed,Grade 11,ELA,Grade 6;Grade 7,ELA;HS English I;HS English II;HS English IV,"Standards are ELA.11 (grade-11 English) matching HS English III; Regular 9–12 vs Higher-Ed is a CFP dual-enrollment HS grouping, not a subject/grade misfile.",6dc4b93cb4524a74c35acbf335a5e6c03e34e3e87df65137a1dcb55326fd502a
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English III,Regular 9–12,,,Unit 2 Part 2,Unit,10,Higher-Ed,Grade 11,ELA,Grade 6;Grade 8;Higher-Ed,ELA;HS English IV;HS Honors English III;HS Honors English IV,"Standards are 100% ELA.11 matching HS English III subject and course grade; flag is only the Regular 9–12 vs Higher-Ed CFP HS grouping label, a dual-enrollment distinction, not a misfile.",8965d6c67376323fc20295996d9a9a2f6751aed2bcd5ad836f5908d24311fe1f
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English III,Regular 9–12,,,Unit 2 Part 1,Unit,10,Higher-Ed,Grade 11,ELA,Grade 6;Grade 7;Grade 8;Higher-Ed,ELA;HS English II;HS Honors English III,"Standards are ELA.11 (grade-11 English) consistent with HS English III; Regular 9–12 vs Higher-Ed is a CFP dual-enrollment HS grouping, not a genuine misfile.",be426e644bbb37fa4bd590e736cea358b1b07f0594c89e3147c22a378c68c588
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English IV,Regular 9–12,,,Unit 3 Part 2,Unit,3,Higher-Ed,Grade 12,ELA,Grade 6;Grade 7;Grade 8;Higher-Ed,ELA;HS English I;HS English II;HS Honors English II;HS Honors English III;HS Honors English IV,"Standards are 100% ELA.12 (grade-12 English) matching HS English IV subject and course grade; only Regular 9–12 vs Higher-Ed grouping differs, a CFP HS dual-enrollment distinction, not a misfile.",1d046ee77c67ca441e7d52a53a9fe3498f42b65e602ebf5fd28967deb5e99b15
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English IV,Regular 9–12,,,Unit 3 Part 1,Unit,3,Higher-Ed,Grade 12,ELA,Grade 6;Grade 7;Grade 8;Higher-Ed,ELA;HS English I;HS English II;HS Honors English II;HS Honors English III;HS Honors English IV,"Standards are ELA.12 (grade-12 English) matching HS English IV; the Regular 9–12 vs Higher-Ed flag is a CFP dual-enrollment HS grouping label, not a subject/grade misfile.",23ce3ddfbda99bda90726132904ce92572c5f3da3095b701341c8dda7d1daae1
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English IV,Regular 9–12,,,Mid-Year Test,Unit,3,Higher-Ed,Grade 12,ELA,Grade 6;Grade 7;Grade 8;Higher-Ed,ELA;HS Honors English II;HS Honors English IV,"Standards are 100% ELA.12.* (Grade 12 ELA), matching HS English IV; folder 'Regular 9–12' vs takers 'Higher-Ed' are both CFP HS/dual-enrollment groupings, not a misfile.",41425d937acbf6898f8874458c59ee423e6ac7d7a693e58ca9ada6d04ca04954
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English IV,Regular 9–12,,,Unit 2 Part 2,Unit,3,Higher-Ed,Grade 12,ELA,Grade 6;Grade 8;Higher-Ed,ELA;HS English III;HS Honors English III;HS Honors English IV,"Standards are all ELA.12.C.* (Grade 12 ELA), correct for HS English IV; Regular 9–12 vs Higher-Ed is a CFP HS/dual-enrollment grouping difference only.",4ba2b1a07ec506a05f69c6865ab166b30262535ce2e5b67dc5db6f35eecd5a55
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English IV,Regular 9–12,,,Unit 1 Part 2,Unit,3,Higher-Ed,Grade 12,ELA,Grade 6;Grade 7,ELA;HS English I;HS English II;HS English III,"Standards are ELA.12.C.* (Grade 12 ELA), matching HS English IV; folder vs taker grade difference (Regular 9–12 vs Higher-Ed) is a CFP HS/dual-enrollment grouping.",774228eaa41d6f49b5201a34258083b0694ad10088caf20a464683a0f8e9bd74
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English IV,Regular 9–12,,,Unit 1 Part 1,Unit,3,Higher-Ed,Grade 12,ELA,Grade 6;Grade 7,ELA;HS English I;HS English II;HS English III,"Standards are 100% ELA.12.R/V.* (Grade 12 ELA), correct for HS English IV; Regular 9–12 vs Higher-Ed is a CFP HS/dual-enrollment grouping, not a misfile.",9554247d56c75714014ecd358d0d25d6ec83ccabf70d006a885f73a93c4e50a7
LEGIT_DUAL_ENROLLMENT,NONE,high,Central Florida Preparatory School,2025-26,HS English IV,Regular 9–12,,,Unit 2 Pat 1,Unit,3,Higher-Ed,Grade 12,ELA,Higher-Ed,HS Honors English IV,"Standards are all ELA.12.* (Grade 12 ELA), matching HS English IV; only the Regular 9–12 vs Higher-Ed CFP grouping differs, a dual-enrollment grouping not a misfile.",f0d1f381924441da2289140ecab8d20f957fc0b206f8021f4ad55a57ed7c0a59
LEGIT_OFFGRADE_STANDARDS,NONE,high,Central Florida Preparatory School,2025-26,Science,Grade 6,,,Topic 6: Plate Tectonics,topic,38,Grade 6,Grade 7,Science,,,"Takers are 100% Grade 6 (agrees with folder Grade 6); only the standard codes are SC.7.E.6.* (Grade 7 Earth Science, plate tectonics) plus some SC.6.N.* — a Grade 6 integrated-science course covering SC.7 Earth-science content, not a misfile.",59a62c5718b7ea36d0f45289771ce23d44f53561090c5f79096ef752946a1b55
LEGIT_OFFGRADE_STANDARDS,NONE,high,Central Florida Preparatory School,2025-26,Science,Grade 6,,,Topic 5: Minerals and Rocks in the Geosphere,topic,38,Grade 6,Grade 7,Science,,,"Takers are 100% Grade 6 (agrees with folder Grade 6); standards mix SC.7.E.6.* (Grade 7 Earth Science) with SC.6.N.3.4 (Grade 6), consistent with a Grade 6 integrated-science course using SC.7 Earth-science standards, not a misfile.",bf2e374d2231d7c6a912e11fc3beb2f7e14db6be8923cc25e8ed9227139366ad
LEGIT_OFFGRADE_STANDARDS,NONE,medium,Central Florida Preparatory School,2025-26,Science,Grade 7,,,Topic 2: Cells and Cell Systems,topic,32,Grade 7,Grade 6,Science,,,"Standards are a genuine mix (507 Grade-6 SC.6.L.14 + 253 real Grade-7 SC.7.L.16.3/N.3.1/L.17.3) and all takers are Grade 7 agreeing with the folder, so the folder grade is the real course grade and only fails the strong-misfile test (which needs taker AND codes to agree against the folder).",01a572f19ba2b6527924331254d4b0035af4b2a0f986718fce71b43b3050e01b
LEGIT_OFFGRADE_STANDARDS,NONE,high,Central Florida Preparatory School,2025-26,Science,Grade 8,,,Thermal Energy,topic,31,Grade 8,Grade 7,Science,,,"Codes are 100% Grade-7 physical-science energy standards (SC.7.P.11.*) but 77% of takers are Grade 8 agreeing with the folder, a normal Grade-8 course using grade-7-coded energy standards rather than a misfile (taker-grade agrees with folder, not codes).",57da635d3ded53e8b34fbff96b2dd8ea62af28872536f27983d93d8803478994
LEGIT_OFFGRADE_STANDARDS,NONE,high,Central Florida Preparatory School,2025-26,Science,Grade 8,,,Waves and Electromagnetic Radiation,Summative,31,Grade 8,Grade 7,Science,,,"Standards are mostly Grade-7 waves/energy (SC.7.P.10.*) but include genuine Grade-8 nature-of-science codes (SC.8.N.1.6, SC.8.N.2) and 77% of takers are Grade 8 agreeing with the folder, confirming a real Grade-8 course with off-grade standards, not a misfile.",86ffa456739f9cdf7f6e0392247480047d87fcc7508d210243614f99f19c04fc
